id,result
0,"[('上手', '不错'), ('键盘', '适中'), ('办公', '一般'), ('使用', '方便'), ('外观', '时尚'), ('网络', '稳定'), ('屏幕', '轻薄'), ('屏幕', '轻松'), ('上手', '炫酷')]"
0,"[('屏幕', '低'), ('外观', '漂亮'), ('指纹识别', '快'), ('运行', '快'), ('音质', '好'), ('续航', '一般'), ('色彩', '一般'), ('散热', '不敢恭维')]"
0,"[('价格', '合适'), ('外观', '漂亮'), ('游戏', '不好'), ('办公', '好'), ('音质', '不错')]"
0,"[('屏幕', '没反应'), ('音质', '不错'), ('外观', '漂亮')]"
0,"[('音质', '不错'), ('续航', '一般'), ('散热', '还行'), ('外观', '漂亮')]"
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
1,"[('运行', '高'), ('键盘', '高'), ('色彩', '饱满'), ('散热', '一般'), ('硬盘', '高'), ('声音', '不错'), ('运行', '流畅'), ('散热效果', '一般'), ('电池', '耐用'), ('手感', '还行')]"
1,"[('物流', '慢'), ('键盘', '大'), ('质感', '很强'), ('键盘', '一般')]"
1,"[('屏幕素质', '一般'), ('开机速度', '超快'), ('画质', '清晰'), ('外观', '不错'), ('产品', '不错'), ('性能', '不错'), ('运行', '流畅')]"
1,"[('按键', '舒服'), ('产品', '超棒'), ('散热', '不好'), ('做工', '很好'), ('物流', '超快'), ('发热', '快'), ('手感', '好'), ('色彩', '满意'), ('反应', '满意'), ('做工', '不错')]"
1,"[('物流', '快'), ('物流', '很好'), ('携带', '方便'), ('性能', '不错'), ('尺寸', '满意')]"
1,"[('外观', '轻松'), ('质感', '一般'), ('开机速度', '快'), ('性能', '不错'), ('尺寸', '偏大'), ('物流', '很赞')]"
1,"[('接口', '不行'), ('散热', '较好'), ('携带', '方便'), ('做工', '细致'), ('价格', '好'), ('手感', '一般'), ('指纹', '安静'), ('做工', '不错')]"
1,"[('颜色', '好'), ('硬盘', '很棒'), ('接口', '不行'), ('携带', '方便'), ('厚度', '轻薄'), ('外观', '一般'), ('做工', '完美'), ('做工', '高'), ('性能', '不错'), ('做工', '好'), ('键盘', '舒服')]"
1,"[('设计', '轻便'), ('金属感', '不错'), ('做工', '精细'), ('运行', '快'), ('携带', '方便'), ('外观', '满意'), ('散热效果', '一般')]"
1,"[('指纹', '不易'), ('功能', '不错'), ('设计', '精致'), ('续航', '轻薄'), ('携带', '方便'), ('性能', '很好'), ('散热效果', '一般'), ('功能', '很好'), ('屏幕', '高清')]"
1,"[('电池', '耐用'), ('外观', '漂亮'), ('散热', '一般'), ('屏幕', '漏光')]"
1,"[('外观', '漂亮'), ('键盘', '高'), ('运行', '高'), ('外观', '不错'), ('屏幕', '高'), ('携带', '方便'), ('手感', '还行')]"
1,"[('屏幕素质', '一般'), ('办公', '一般'), ('色彩', '饱满'), ('散热', '一般'), ('硬盘', '高'), ('声音', '不错'), ('屏幕', '漏光'), ('电池', '耐用')]"
1,"[('声音', '一般'), ('键盘', '高'), ('色彩', '饱满'), ('散热', '一般'), ('硬盘', '高'), ('声音', '不错'), ('屏幕', '漏光'), ('电池', '耐用'), ('手感', '还行')]"
1,"[('待机', '一般'), ('性能', '不错'), ('键盘', '适中'), ('外观', '不错'), ('使用', '方便'), ('待机', '还行'), ('配件', '方便'), ('尺寸', '满意')]"
1,"[('操作', '流畅'), ('散热', '好'), ('做工', '精致')]"
1,"[('价格', '合适'), ('做工', '精细'), ('散热', '很好'), ('使用', '稳定'), ('开机速度', '快'), ('性能', '不错'), ('键盘', '舒服')]"
1,"[('色彩', '高'), ('快速', '快速'), ('做工', '精致'), ('外观', '漂亮'), ('外观', '好'), ('声音', '大'), ('运行', '方便'), ('散热', '一般'), ('携带', '轻薄'), ('声音', '不错'), ('屏幕', '漏光'), ('电池', '耐用'), ('键盘', '酷炫'), ('传输', '大'), ('价格', '实惠')]"
1,"[('性能', '不错'), ('做工', '好'), ('散热', '好'), ('屏幕', '清晰'), ('屏幕', '漏光'), ('电池', '耐用'), ('做工', '大')]"
1,"[('运行', '流畅'), ('运行', '快'), ('色彩', '满意'), ('反应', '满意')]"
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
2,[]
3,"[('传输速度', '快'), ('电池', '大'), ('适配器', '高效')]"
3,"[('外观', '简洁'), ('功能', '强劲')]"
3,"[('手感', '惊艳'), ('价格', '惊艳'), ('屏幕', '高'), ('产品', '不错'), ('档次', '高'), ('屏幕', '方便')]"
3,"[('触感', '细腻'), ('散热', '高效'), ('屏幕', '高清'), ('设计', '完美')]"
3,"[('功能', '简单'), ('快速', '快速'), ('性能', '出众'), ('设计', '轻薄'), ('运行', '快捷')]"
3,"[('触感', '光滑'), ('屏幕', '细腻')]"
3,"[('屏幕', '细腻'), ('做工', '一般'), ('做工', '扎实'), ('指纹', '很好'), ('指纹', '快')]"
3,"[('屏幕', '轻薄')]"
3,"[('散热效率', '出色'), ('指纹识别', '简单'), ('键盘', '给力'), ('散热', '舒服'), ('价格', '轻薄'), ('性能', '轻薄'), ('使用', '大'), ('触感', '细腻')]"
3,"[('声音', '大'), ('携带', '方便'), ('外观', '惊艳'), ('音质', '好'), ('音质', '清晰'), ('办公', '很棒')]"
3,"[('快速', '快速'), ('画质', '清晰'), ('功能', '较弱'), ('指纹', '快速'), ('散热', '很好'), ('触感', '细腻'), ('屏幕', '合理')]"
3,"[('开机速度', '快')]"
3,"[('键盘', '适中'), ('散热', '较好')]"
3,"[('性能', '强大'), ('外观', '轻薄')]"
3,"[('设计', '轻薄'), ('触摸', '舒适')]"
3,"[('电量', '快'), ('性能', '极速'), ('性能', '强大'), ('设置', '简单')]"
3,"[('接口', '不错'), ('散热', '良好'), ('价格', '轻薄'), ('外观', '时尚'), ('办公', '舒适')]"
3,"[('散热', '有点问题'), ('性能', '大'), ('做工', '精细'), ('外观', '漂亮'), ('触感', '光滑'), ('屏幕', '惊艳')]"
3,"[('办公', '不错'), ('设计', '轻薄'), ('快速', '快速')]"
3,"[('游戏', '轻便'), ('设计', '高')]"
4,"[('系统', '稳定'), ('续航', '完美'), ('散热', '慢一点'), ('屏幕', '大'), ('设置', '合理'), ('性能', '强大'), ('屏幕', '高'), ('网速', '给力'), ('屏幕', '清晰'), ('玩游戏', '清晰'), ('办公', '清晰'), ('性能', '很棒'), ('声音', '安静')]"
4,"[('屏幕', '很好'), ('色彩', '很赞')]"
4,"[('性能', '合理')]"
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
4,[]
5,"[('散热', '挺好'), ('性能', '极佳'), ('游戏', '轻薄'), ('外观', '方便'), ('手感', '细腻'), ('质感', '不错'), ('散热', '良好'), ('系统', '不错'), ('携带', '方便'), ('运行', '流畅'), ('接口', '流畅'), ('运行', '慢'), ('鼠标', '舒适'), ('灵敏度', '流畅'), ('接口', '丰富'), ('做工', '不错')]"
5,"[('屏幕', '漏光')]"
5,[]
5,"[('噪音', '大'), ('外观', '还行')]"
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
5,[]
6,"[('性能', '强劲'), ('使用', '舒适'), ('散热', '给力'), ('画质', '清晰'), ('系统', '好'), ('性能', '给力'), ('网络', '高')]"
6,"[('性能', '强劲'), ('颜色', '沉稳'), ('设计', '新颖'), ('外观', '时尚'), ('背光', '漂亮'), ('硬盘', '高端')]"
6,"[('键盘', '不错'), ('散热', '好'), ('屏幕', '高'), ('玩游戏', '高'), ('指纹', '舒适'), ('性能', '强'), ('续航', '一般'), ('游戏', '流畅'), ('颜色', '均匀'), ('性能', '好'), ('画质', '好'), ('性能', '很强')]"
6,"[('做工', '精细'), ('散热', '好'), ('性能', '强大'), ('灯光', '快'), ('屏幕', '清晰'), ('续航', '一般')]"
6,"[('运行', '流畅'), ('画质', '流畅'), ('外观', '奢华')]"
6,"[('性能', '强劲'), ('键盘', '不错'), ('散热', '好'), ('性能', '酷炫'), ('屏幕', '高'), ('玩游戏', '高'), ('指纹', '舒适'), ('性能', '强'), ('游戏', '流畅'), ('颜色', '均匀'), ('性能', '好'), ('屏幕', '强大'), ('性能', '很强')]"
6,"[('物流', '完美'), ('做工', '精致'), ('性能', '强大'), ('外观', '惊艳'), ('价格', '太贵'), ('性能', '给力')]"
6,"[('使用', '大'), ('运行', '好'), ('做工', '精细'), ('游戏', '稳定')]"
6,[]
6,[]
6,[]
6,[]
6,[]
6,[]
6,[]
6,[]
6,[]
6,[]
6,[]
6,[]
7,"[('画质', '完美'), ('性能', '强大'), ('画质', '稳定'), ('散热效果', '一般'), ('游戏', '流畅')]"
7,"[('画质', '完美'), ('玩游戏', '流畅'), ('画质', '稳定'), ('触感', '大'), ('散热', '很好'), ('散热效果', '一般'), ('性能', '好'), ('档次', '高'), ('外观', '酷炫')]"
7,"[('屏幕', '没有漏光'), ('运行', '流畅'), ('性能', '好')]"
7,"[('画质', '完美'), ('画质', '稳定'), ('触感', '大'), ('键盘', '流畅'), ('屏幕', '清晰'), ('档次', '高'), ('屏幕', '漏光'), ('音效', '不错')]"
7,"[('性能', '强劲'), ('外观', '完美'), ('键盘', '高'), ('声音', '大'), ('散热', '好'), ('屏幕', '好'), ('性能', '好'), ('背光', '简洁'), ('性能', '高'), ('键盘', '舒服')]"
7,"[('性能', '强劲'), ('质感', '很棒'), ('屏幕', '大'), ('散热', '好'), ('做工', '不错'), ('携带', '方便'), ('音质', '好'), ('外观', '惊艳'), ('运行', '一般'), ('色彩', '丰富'), ('音效', '不错'), ('内存', '大'), ('手感', '不错'), ('外观设计', '好')]"
7,"[('键盘', '不错'), ('音效', '垃圾'), ('性能', '强大'), ('散热效果', '不行'), ('运行', '流畅'), ('物流', '给力')]"
7,"[('声音', '大'), ('系统', '大气'), ('外观', '惊艳'), ('屏幕', '简单'), ('屏幕', '不错')]"
7,"[('音效', '好'), ('屏幕', '好'), ('色彩', '很好'), ('玩游戏', '不错')]"
7,"[('声音', '大'), ('散热', '好'), ('屏幕', '好'), ('材质', '不错'), ('亮度', '一般'), ('手感', '不错'), ('背光', '大')]"
7,"[('运行', '流畅'), ('屏幕', '舒服'), ('游戏', '高'), ('声音', '不错')]"
7,"[('运行', '流畅'), ('音效', '好'), ('做工', '好'), ('散热', '很好')]"
7,"[('背光', '大'), ('材质', '不错'), ('游戏', '稳定'), ('性能', '奢华'), ('手感', '不错')]"
